epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.851,1.98422,3.44275,0.98071,0.01169,0.07312,0.03681,0.00879,1.87477,3.88935,0.92551,0.000225,0.000225,0.000225
2,192.892,1.70401,1.56774,0.91514,0.03852,0.20785,0.14093,0.06085,1.80778,3.11345,0.9087,0.000444185,0.000444185,0.000444185
3,287.016,1.61476,1.3244,0.89443,0.36413,0.252,0.18861,0.08174,1.72005,2.33636,0.89151,0.00064456,0.00064456,0.00064456
4,380.768,1.53573,1.23145,0.87794,0.96886,0.18808,0.22932,0.12734,1.44827,1.82172,0.88086,0.000826125,0.000826125,0.000826125
5,470.746,1.45993,1.16836,0.8795,0.6999,0.21454,0.24404,0.13329,1.45437,1.58017,0.87524,0.00098888,0.00098888,0.00098888
6,555.972,1.47667,1.13204,0.88,0.78017,0.22932,0.23877,0.12846,1.4211,1.56962,0.8673,0.0010025,0.0010025,0.0010025
7,643.853,1.42923,1.08367,0.8731,0.86159,0.25112,0.27288,0.14932,1.37526,1.34207,0.86111,0.000953,0.000953,0.000953
8,736.386,1.43476,1.06469,0.86699,0.82643,0.26132,0.28778,0.15641,1.37964,1.10185,0.86106,0.0009035,0.0009035,0.0009035
9,837.079,1.45649,1.03692,0.87373,0.8763,0.2624,0.32263,0.1716,1.41757,1.10243,0.86338,0.000854,0.000854,0.000854
10,948.835,1.45156,1.02274,0.87179,0.49968,0.32057,0.34363,0.18873,1.4189,0.96053,0.8644,0.0008045,0.0008045,0.0008045
11,1072.97,1.37525,0.97631,0.87043,0.59605,0.35025,0.3664,0.20839,1.32128,0.94426,0.858,0.000755,0.000755,0.000755
12,1183.7,1.38787,0.96215,0.85338,0.67646,0.42797,0.42975,0.24687,1.3096,0.95515,0.85592,0.0007055,0.0007055,0.0007055
13,1287.09,1.37919,0.92526,0.85487,0.70901,0.42992,0.44941,0.26702,1.27304,0.89566,0.85234,0.000656,0.000656,0.000656
14,1396.03,1.33956,0.8981,0.85806,0.7075,0.44998,0.48217,0.28172,1.26044,0.89191,0.85247,0.0006065,0.0006065,0.0006065
15,1490.72,1.30076,0.87541,0.85612,0.74338,0.49297,0.52851,0.2947,1.27613,0.84666,0.854,0.000557,0.000557,0.000557
16,1576.03,1.23223,0.833,0.85654,0.79603,0.48998,0.54936,0.31914,1.24176,0.81576,0.84749,0.0005075,0.0005075,0.0005075
17,1662.49,1.22779,0.80809,0.85493,0.81189,0.51127,0.57351,0.32277,1.25048,0.8175,0.85011,0.000458,0.000458,0.000458
18,1757.31,1.1946,0.78207,0.85402,0.85869,0.48449,0.57826,0.32215,1.27357,0.81463,0.851,0.0004085,0.0004085,0.0004085
19,1847.1,1.1922,0.77731,0.85437,0.78958,0.49847,0.57961,0.32804,1.22782,0.79995,0.84929,0.000359,0.000359,0.000359
20,1930.53,1.1949,0.76213,0.84926,0.82829,0.53603,0.61596,0.35797,1.21965,0.77057,0.84422,0.0003095,0.0003095,0.0003095
21,2018.83,1.17098,0.74823,0.84541,0.80168,0.55184,0.63468,0.36589,1.19487,0.73253,0.84343,0.00026,0.00026,0.00026
22,2119.06,1.15456,0.73436,0.84028,0.84146,0.55564,0.6391,0.373,1.18125,0.73499,0.8404,0.0002105,0.0002105,0.0002105
23,2214.63,1.14778,0.72455,0.84696,0.87671,0.54977,0.64033,0.38105,1.18091,0.71275,0.84005,0.000161,0.000161,0.000161
24,2306.59,1.15582,0.70874,0.84609,0.89314,0.55039,0.65037,0.3818,1.1724,0.71003,0.83901,0.0001115,0.0001115,0.0001115
25,2409.65,1.13523,0.70253,0.84194,0.88979,0.55176,0.65287,0.38222,1.1643,0.70143,0.8389,6.2e-05,6.2e-05,6.2e-05
